Country,Dent_exp_usd,Dent_exppc_usd
Afghanistan,0.0167,0.46
Albania,0.0363,12.66
Algeria,0.3237,7.46
Andorra,0.0146,189.89
Angola,0.0702,2.33
Antigua and Barbuda,0.0048,51.88
Argentina,1.106,24.55
Armenia,0.113,38.05
Australia,7.3703,288.25
Austria,2.1157,236.39
Azerbaijan,0.1268,12.61
Bahamas,0.0329,75.3
Bahrain,0.0625,41.36
Bangladesh,0.0125,0.08
Barbados,0.0152,52.8
Belarus,0.1371,14.47
Belgium,2.1221,185.2
Belize,0.0057,14.08
Benin,0.0033,0.28
Bhutan,0,0.06
Bolivia ,0.0482,4.17
Bosnia and Herzegovina,0.0727,20.75
Botswana,0.0574,24.15
Brazil,3.7128,17.68
Brunei Darussalam,0.0091,20.35
Bulgaria,0.1094,15.72
Burkina Faso,0.0046,0.23
Burundi,0.0013,0.12
Cabo Verde,0.0034,6.12
Cambodia,0.0001,0.01
Cameroon,0.0066,0.26
Canada,12.8291,342.52
Central African Republic,0.0011,0.22
Chad,0.0034,0.26
Chile,0.4696,24.58
China,61.5486,43.96
Colombia,0.7051,14
Comoros,0.0003,0.3
Congo,0.0047,1.03
Cook Islands,NA,NA
Costa Rica,0.1617,31.84
Côte d'Ivoire,0.0066,0.25
Croatia,0.1494,36.8
Cuba,0.3044,26.85
Cyprus,0.0126,14.41
Czechia,0.8438,79.32
North Korea,0.0895,3.5
Democratic Republic of the Congo,0.0229,0.23
Denmark,1.8676,321.67
Djibouti,0.0008,0.76
Dominica,0.0019,26.92
Dominican Republic,0.0823,7.94
Ecuador,0.1257,7.28
Egypt,0.3293,3.32
El Salvador,0.0628,9.37
Equatorial Guinea,0.0057,4.19
Eritrea,0.0024,0.39
Estonia,0.149,113
Eswatini,0.0138,12.18
Ethiopia,0.0001,0.01
Fiji,0.0069,7.7
Finland,0.5937,107.59
France,12.666,195.39
Gabon,0.0077,3.69
Gambia,0,0.02
Georgia,0.0116,3.13
Germany,30.8773,372.15
Ghana,0.0008,0.03
Greece,0.8265,77.14
Grenada,0.0035,32.04
Guatemala,0.1624,9.22
Guinea,0.0032,0.23
Guinea-Bissau,0.0005,0.25
Guyana,0.0113,14.38
Haiti,0.0263,2.34
Honduras,0.052,5.42
Hungary,0.3639,37.29
Iceland,0.1455,407.54
India,0.0645,0.05
Indonesia,0.2666,1
Iran ,3.5071,42.12
Iraq,0.0001,0.01
Republic of Ireland,0.5148,104
Israel,1.8272,201.81
Italy,19.123,316.82
Jamaica,0.0449,15.62
Japan,28.7336,227.7
Jordan,0.0747,7.42
Kazakhstan,0.061,3.27
Kenya,0.0001,0.01
Kiribati,0.0003,2.61
Kuwait,0.2182,46.41
Kyrgyzstan,0.0039,0.6
Lao People's Democratic Republic,0.0045,0.63
Latvia,0.112,58.08
Lebanon,0.1049,17.29
Lesotho,0.0093,4.56
Liberia,0.0007,0.16
Libya,0.0615,9.34
Lithuania,0.199,71.47
Luxembourg,0.212,345.35
Madagascar,0.0042,0.15
Malawi,0.0025,0.12
Malaysia,0.2268,6.91
Maldives,0.0006,1.7
Mali,0.0013,0.07
Malta,0.0444,91.64
Marshall Islands,0.0003,5.84
Mauritania,0.0017,0.43
Mauritius,0.0168,13.26
Mexico,2.103,16.7
Micronesia ,0.0005,5.3
Monaco,NA,NA
Mongolia,0.0352,10.65
Montenegro,0.0057,9.18
Morocco,0.0821,2.31
Mozambique,0.0049,0.16
Myanmar,0.0004,0.01
Namibia,0.0028,1.13
Nauru,0.0002,14.8
Nepal,0.0891,3.13
Netherlands,3.6785,213.48
New Zealand,0.5353,106.27
Nicaragua,0.0314,4.81
Niger,0.0001,0.01
Nigeria,0.1375,0.68
Niue,NA,NA
North Macedonia,0.0319,15.34
Norway,2.1691,404.99
Oman,0.1327,30.82
Pakistan,0.0489,0.24
Palau,0.0005,25.39
Panama,0.1354,32.1
Papua New Guinea,0.0358,4.17
Paraguay,0.0513,7.18
Peru,0.2678,8.24
Philippines,0.0165,0.15
Poland,1.7024,44.83
Portugal,0.8695,84.7
Qatar,0.2287,83.07
Republic of Korea,7.2547,139.93
Republic of Moldova,0.0051,1.43
Romania,0.3761,19.27
Russian Federation,0.8921,6.08
Rwanda,0.0035,0.28
Saint Kitts and Nevis,0.003,56.98
Saint Lucia,0.0054,29.98
Saint Vincent and the Grenadines,0.0026,23.29
Samoa,0.001,5.16
San Marino,0.0075,222.24
Sao Tome and Principe,0.0001,0.61
Saudi Arabia,1.2518,36.73
Senegal,0.0044,0.27
Serbia,0.11,15.79
Seychelles,0.0013,13.61
Sierra Leone,0.0014,0.18
Singapore,1.1604,204.66
Slovakia,0.3082,56.55
Slovenia,0.1215,58.73
Solomon Islands,0.0021,3.26
Somalia,0.0026,0.17
South Africa,2.2861,38.86
South Sudan,0.0011,0.09
Spain,8.3063,178.03
Sri Lanka,0.04,1.82
Sudan,0.0463,1.07
Suriname,0.0095,15.9
Sweden,3.3758,327.04
Switzerland,4.2189,493.73
Syrian Arab Republic,0.028,1.66
Taiwan,6.3776,269.82
Tajikistan,0.0306,3.29
Thailand,0.1917,2.82
Timor-Leste,0.0007,0.55
Togo,0.0017,0.2
Tonga,0.0017,16.62
Trinidad and Tobago,0.0737,53.4
Tunisia,0.0609,5.17
Turkey,0.8299,10
Turkmenistan,0.1348,22.57
Tuvalu,0.0001,6.81
Uganda,0.0124,0.31
Ukraine,0.0589,1.41
United Arab Emirates,0.6985,64.99
United Kingdom of Great Britain and Northern Ireland,9.5769,143.22
United Republic of Tanzania,0.0001,0.01
United States of America,133.5058,405.46
Uruguay,0.1075,30.56
Uzbekistan,0.2183,6.61
Vanuatu,0.0001,0.51
Venezuela,0.4937,17.93
Viet Nam,0.057,0.6
Yemen,0.0098,0.31
Zambia,0.0008,0.04
Zimbabwe,0.0587,3.94
