Location,Level,Superregion,Region,baseline,gingi60,gingi40,delta_gingi60,delta_gingi60_pct,delta_gingi40,delta_gingi40_pct,max_abs_pct_change
Global,Global,NA,NA,168.0991626262167,160.5345770343447,175.6194298835397,-7.564585591872003,-4.5000733339121535,7.520267257323013,4.473708934556081,4.5000733339121535
South Asia,Region,NA,South Asia,0.8718020175177643,0.7933599454882704,0.7847909635828653,-0.07844207202949394,-8.997693335562344,-0.08701105393489905,-9.980597909447493,9.980597909447493
Western Sub-Saharan Africa,Region,NA,Western Sub-Saharan Africa,0.10900323689343519,0.10794182849539395,0.11860917227331595,-0.0010614083980412387,-0.9737402560612977,0.009605935379880762,8.812523053119799,8.812523053119799
Central Sub-Saharan Africa,Region,NA,Central Sub-Saharan Africa,0.020102856606557865,0.018954492735824304,0.020194159804035113,-0.0011483638707335611,-5.712441237624642,9.130319747724727e-5,0.4541802155991241,5.712441237624642
Eastern Sub-Saharan Africa,Region,NA,Eastern Sub-Saharan Africa,0.0726507244642706,0.06855906575963969,0.07434614194742471,-0.004091658704630907,-5.6319585727506025,0.0016954174831541186,2.333655301658994,5.6319585727506025
East Asia,Region,NA,East Asia,28.56211999538897,27.40341612815135,30.10316182916077,-1.1587038672376195,-4.0567852366164665,1.5410418337718,5.395404241774013,5.395404241774013
Western Europe,Region,NA,Western Europe,42.31269502040632,40.16952990137872,44.301630746389726,-2.1431651190276,-5.065064085362576,1.9889357259834028,4.70056498415946,5.065064085362576
Andean Latin America,Region,NA,Andean Latin America,0.03255497819735854,0.03093346291099892,0.03322946921217967,-0.001621515286359617,-4.9808520114173644,6.744910148211297e-4,2.0718521472573337,4.9808520114173644
Australasia,Region,NA,Australasia,4.587549158276278,4.379107201104613,4.810689950644374,-0.20844195717166514,-4.543645200959218,0.22314079236809548,4.864052344061163,4.864052344061163
Southern Latin America,Region,NA,Southern Latin America,0.7239519568293793,0.7153854235300597,0.7588581186372386,-0.008566533299319556,-1.1833013528739607,0.034906161807859326,4.821613019838276,4.821613019838276
Oceania,Region,NA,Oceania,0.028461027920907316,0.027090693313360673,0.02925135247290299,-0.0013703346075466423,-4.814775528680051,7.903245519956734e-4,2.7768658046784926,4.814775528680051
High-income North America,Region,NA,High-income North America,71.06946085569965,67.81422989030631,74.21992810872062,-3.255230965393338,-4.580351287598482,3.1504672530209774,4.432940977866326,4.580351287598482
High-income Asia Pacific,Region,NA,High-income Asia Pacific,10.687739221857102,10.241185933409065,11.118312989631116,-0.44655328844803677,-4.178182861486806,0.430573767774014,4.028670225162899,4.178182861486806
Tropical Latin America,Region,NA,Tropical Latin America,2.4009887373731282,2.3029595317826232,2.426214121677321,-0.09802920559050499,-4.082868197780749,0.025225384304192744,1.0506248493190065,4.082868197780749
Central Asia,Region,NA,Central Asia,0.1442904203623333,0.13989866549916397,0.15009444712641143,-0.004391754863169339,-3.0436912250591774,0.005804026764078124,4.022461608680192,4.022461608680192
Central Europe,Region,NA,Central Europe,1.497836974144072,1.454134477286929,1.5551665660868383,-0.043702496857143114,-2.9177071745152094,0.05732959194276632,3.8274921057765248,3.8274921057765248
Southern Sub-Saharan Africa,Region,NA,Southern Sub-Saharan Africa,0.4706046478830739,0.45866803975958204,0.4879258522730369,-0.011936608123491843,-2.536440763427735,0.01732120438996304,3.6806275645340962,3.6806275645340962
Southeast Asia,Region,NA,Southeast Asia,0.36340401976763737,0.3547530419897464,0.3746163960335674,-0.008650977777890978,-2.380539924523252,0.011212376265930024,3.0853748599421884,3.0853748599421884
North Africa and Middle East,Region,NA,North Africa and Middle East,3.032493736383652,2.954668387832555,3.1220218559423256,-0.07782534855109713,-2.566381180523275,0.08952811955867368,2.9522936349223556,2.9522936349223556
Eastern Europe,Region,NA,Eastern Europe,0.3159785605942041,0.31277802133200333,0.3246810204106094,-0.0032005392622007633,-1.0128976017176876,0.008702459816405328,2.7541298371763503,2.7541298371763503
Caribbean,Region,NA,Caribbean,0.21965519590501917,0.21459768858103676,0.22137174797906128,-0.005057507323982413,-2.3024756155412427,0.0017165520740421158,0.7814757429113437,2.3024756155412427
Central Latin America,Region,NA,Central Latin America,0.575819283745584,0.5724252136974493,0.5843348735339591,-0.0033940700481347452,-0.5894332030801451,0.008515589788375078,1.4788649891999008,1.4788649891999008
South Asia,Superregion,South Asia,NA,0.8718020175177643,0.7933599454882704,0.7847909635828653,-0.07844207202949394,-8.997693335562344,-0.08701105393489905,-9.980597909447493,9.980597909447493
"Southeast Asia, East Asia, and Oceania",Superregion,"Southeast Asia, East Asia, and Oceania",NA,28.953985043077516,27.785259863454456,30.50702957766724,-1.1687251796230598,-4.036491618974865,1.5530445345897235,5.363836902861958,5.363836902861958
High-income,Superregion,High-income,NA,129.38139621306874,123.31943834972877,135.20941991402307,-6.06195786333997,-4.685339655290916,5.828023700954333,4.5045299181627225,4.685339655290916
Sub-Saharan Africa,Superregion,Sub-Saharan Africa,NA,0.6723614658473375,0.65412342675044,0.7010753262978127,-0.018238039096897474,-2.712534852650003,0.028713860450475193,4.270598764057486,4.270598764057486
"Central Europe, Eastern Europe, and Central Asia",Superregion,"Central Europe, Eastern Europe, and Central Asia",NA,1.9581059551006095,1.9068111641180963,2.029942033623859,-0.051294790982513216,-2.6196126337748478,0.07183607852324947,3.6686512461762293,3.6686512461762293
Latin America and Caribbean,Superregion,Latin America and Caribbean,NA,3.22901819522109,3.120915896972108,3.265150212402521,-0.1081022982489821,-3.3478380025536016,0.03613201718143122,1.1189784323577425,3.3478380025536016
North Africa and Middle East,Superregion,North Africa and Middle East,NA,3.032493736383652,2.954668387832555,3.1220218559423256,-0.07782534855109713,-2.566381180523275,0.08952811955867368,2.9522936349223556,2.9522936349223556
