Procedure,global_Mean_total_billions,global_SD_total_billions
Consult_perio,2.295545876110793,0.588795441989556
Consult_simple,4.5995428948204475,1.4611960295693693
Denture,3.4335277024815456,1.125099949525249
Denture_repair,2.2249389823973296,0.5843053225367366
Extraction,7.085982871079447,2.0782324261908376
Full_fixed,4.074660992869119,2.266372924000391
GTR,1.2729650922990108,0.28664601835265807
Implant_surgery,2.687255552286333,1.3093533942827236
Maintenance_perio,33.97404856544122,4.085612943890028
Maintenance_simp,48.048631036510415,8.366491686439543
OFD,1.116388780339496,0.25796304289148436
OHI,1.8397891753272642,0.6927985065965191
OPG,4.12598996850479,0.9979471418400856
PA,2.407645523189433,0.5878647857543375
Prophy,8.452363352333247,2.4715970342001374
RootDeb,9.449829709853798,2.710157867445881
Single_implant,20.557471869971458,4.851637289526392
