Location,Level,baseline,total60,total50,delta_60,delta_60_pct,delta_50,delta_50_pct
Global,Global,168.0991626262167,157.77980558089743,155.23966329944074,-10.319357045319265,-6.138850952080746,-12.85949932677596,-7.649948474383653
Andean Latin America,Region,0.03255497819735854,0.03255497819735854,0.03255497819735854,0,0,0,0
Australasia,Region,4.587549158276278,1.1221799193378263,1.1221799193378263,-3.465369238938452,-75.53857450631715,-3.465369238938452,-75.53857450631715
Caribbean,Region,0.21965519590501917,0.20979801832894762,0.18494757043118396,-0.009857177576071546,-4.487568589241967,-0.03470762547383521,-15.800958102007792
Central Asia,Region,0.1442904203623333,0.1442904203623333,0.1442904203623333,0,0,0,0
Central Europe,Region,1.497836974144072,1.497836974144072,1.3803066987031893,0,0,-0.11753027544088268,-7.846666724731142
Central Latin America,Region,0.575819283745584,0.4615964654545997,0.3898984326534973,-0.1142228182909843,-19.836573993838613,-0.18592085109208673,-32.28805570433669
Central Sub-Saharan Africa,Region,0.020102856606557865,0.020102856606557865,0.020102856606557865,0,0,0,0
East Asia,Region,28.56211999538897,28.56211999538897,28.56211999538897,0,0,0,0
Eastern Europe,Region,0.3159785605942041,0.3159785605942041,0.3159785605942041,0,0,0,0
Eastern Sub-Saharan Africa,Region,0.0726507244642706,0.0726507244642706,0.0726507244642706,0,0,0,0
High-income Asia Pacific,Region,10.687739221857102,10.687739221857102,10.687739221857102,0,0,0,0
High-income North America,Region,71.06946085569965,71.06946085569965,71.06946085569965,0,0,0,0
Oceania,Region,0.028461027920907316,0.023758136448575926,0.002700067745976778,-0.00470289147233139,-16.523969146162397,-0.025760960174930538,-90.51310531200694
Southeast Asia,Region,0.36340401976763737,0.36340401976763737,0.36340401976763737,0,0,0,0
Southern Latin America,Region,0.7239519568293793,0.6629567789376732,0.06667623011972777,-0.060995177891706054,-8.425307413884285,-0.6572757267096515,-90.78996479106941
Southern Sub-Saharan Africa,Region,0.4706046478830739,0.4706046478830739,0.44183388411731817,0,0,-0.028770763765755714,-6.113574078618977
Tropical Latin America,Region,2.4009887373731282,0.17747152431180124,0.17747152431180124,-2.223517213061327,-92.60839830069469,-2.223517213061327,-92.60839830069469
Western Europe,Region,42.31269502040632,39.33750718352823,37.65755303949757,-2.975187836878092,-7.031430721780391,-4.655141980908752,-11.00176195031703
Western Sub-Saharan Africa,Region,0.10900323689343519,0.10900323689343519,0.10900323689343519,0,0,0,0
"Central Europe, Eastern Europe, and Central Asia",Superregion,1.9581059551006095,1.9581059551006095,1.8405756796597268,0,0,-0.11753027544088268,-6.002242888579738
High-income,Superregion,129.38139621306874,122.87984395936049,120.60360926651187,-6.501552253708255,-5.025105961139363,-8.777786946556873,-6.784427439708085
Latin America and Caribbean,Superregion,3.22901819522109,0.8814209862927072,0.784872505593841,-2.3475972089283825,-72.70312729741813,-2.444145689627249,-75.6931532081348
North Africa and Middle East,Superregion,3.032493736383652,1.5669890451733623,1.5669890451733623,-1.4655046912102896,-48.32671783051898,-1.4655046912102896,-48.32671783051898
South Asia,Superregion,0.8718020175177643,0.8718020175177643,0.8718020175177643,0,0,0,0
"Southeast Asia, East Asia, and Oceania",Superregion,28.953985043077516,28.949282151605182,28.928224082902585,-0.004702891472334159,-0.016242639710344647,-0.02576096017493157,-0.08897207115567896
Sub-Saharan Africa,Superregion,0.6723614658473375,0.6723614658473375,0.6435907020815818,0,0,-0.028770763765755714,-4.279061966987894
